CALLE TRABAJADORES SOCIALES,91,COLONIA GUADALUPE DEL MORAL,09040,IZTAPALAPA,CIUDAD DE MEXICO
CALLE NAUYACA,12,COLONIA PEDREGAL DE SANTO DOMINGO,24369,COYOACAN,CIUDAD DE MEXICO
CERRADA ORIENTE 229-A,35,COLONIA AGRICOLA ORIENTAL,08500,IZTACALCO,CIUDAD DE MEXICO
PRIVADA ESTRONCIO,377,COLONIA CUCHILLA PANTITLAN,15610,VENUSTIANO CARRANZA,CIUDAD DE MEXICO
EJE VIAL EJE 5 ORIENTE JAVIER ROJO GOMEZ,560,COLONIA EJIDOS DEL MORAL,09040,IZTAPALAPA,CIUDAD DE MEXICO
CALLE JOSE SIMON BOLIVAR,215,COLONIA INDEPENDENCIA,03630,BENITO JUAREZ,CIUDAD DE MEXICO
AVENIDA INSURGENTES SUR,1216,COLONIA TLACOMECATL DEL VALLE,03200,COYOACAN,CIUDAD DE MEXICO
CALLE PRIMER DINAMO,03,COLONIA PARAJE,10640,LA MAGDALENA CONTRERAS,CIUDAD DE MEXICO
CALLE SEGUNDO DINAMO,04,COLONIA PARAJE,10640,LA MAGDALENA CONTRERAS,CIUDAD DE MEXICO
CALLE ORIENTE 237-C,31,COLONIA AGRICOLA ORIENTAL,08500,IZTACALCO,CIUDAD DE MEXICO
CALLE MAGDALENO ITA,07,COLONIA AMPLIACION LA CONCHITA,13360,TLAHUAC,CIUDAD DE MEXICO
CALLE	SUR 89,247,COLONIA CACAMA,09080,IZTAPALAPA,CIUDAD DE MEXICO
CALLE MANUEL GONZALEZ,380,CONJUNTO HABITACIONAL EMILIZANO ZAPATA,06900,CUAUHTEMOC,CIUDAD DE MEXICO
CALLE JUAN LUCAS DE LASSAGA,54,COLONIA OBRERA,06800,CUAUHTEMOC,CIUDAD DE MEXICO
AVENIDA RIO CHURUBUSCO,274,COLONIA ACACIAS,03240,BENITO JUAREZ,CIUDAD DE MEXICO
CALLE NINGUNO,6,CONJUNTO HABITACIONAL CHINAM-PAC DE JUAREZ,09225,IZTAPALAPA,CIUDAD DE MEXICO
PERIFERICO BOULEVARD PRESIDENTE MANUEL AVILA CAMACHO,166,COLONIA LOMAS DE CHAPULTEPEC SECCION I,11000,MIGUEL HIDALGO,CIUDAD DE MEXICO
AVENIDA SANTA FE,0,COLONIA HUIXQUILUCAN,11520,CUAJIMALPA DE MORELOS,CIUDAD DE MEXICO
CALLE ROMERO DE TORREROS,440,COLONIA SANTA FE,CUAJIMALPA DE MORELOS,CIUDAD DE MEXICO
CALLE BOSQUE DE LOS CIRUELOS,180,COLONIA BOSQUES DE LAS LOMAS,11700,MIGUEL HIDALGO,CIUDAD DE MEXICO
PERIFERICO BOULEVARD PRESIDENTE MANUEL AVILA CAMACHO,138,COLONIA LOMAS DE CHAPULTEPEC SECCION I,11100,MIGUEL HIDALGO,CIUDAD DE MEXICO
CALLE CALERO,76,COLONIA SAN ANGEL INN,01060,ALVARO OBREGON,CIUDAD DE MEXICO
CALLE SHAKESPEARE,39,COLONIA POLANCO CHAPULTEPEC,11560,MIGUEL HIDALGO,CIUDAD DE MEXICO
AVENIDA SANTA FE,170,COLONIA SANTA FE CENTRO,1210,ALVARO OBREGON,CIUDAD DE MEXICO
CALLE LAFAYETTE,36,COLONIA POLANCO,11590,MIGUEL HIDALGO,CIUDAD DE MEXICO
AVENIDA PASEO DE LAS PALMAS,425,COLONIA LOMAS DE CHAPULTEPEC,11000,MIGUEL HIDALGO,CIUDAD DE MEXICO
CALZADA DE GUADALUPE,285,COLONIA GUADALUPE TEPEYAC,07840,GUSTAVO A. MADERO,CIUDAD DE MEXICO
CALLE SAN BORJA,492,COLONIA NARVARTE,03600,BENITO JUAREZ,CIUDAD DE MEXICO
AVENIDA CALZADA GENERAL MARIANO ESCOBEDO,76,COLONIA NUEVA ANZURES,11590,MIGUEL HIDALGO,CIUDAD DE MEXICO
CALLE ANTONIO MAURA,174,COLONIA LA MODERNA,13510,BENITO JUAREZ,CIUDAD DE MEXICO
AVENIDA 1,30,COLONIA EDUCACION,04400,COYOACAN,CIUDAD DE MEXICO
CALLE HUMBOLDT,56,COLONIA,CENTRO,06040,CUAUHTEMOC,CIUDAD DE MEXICO
AVENIDA PASEO DE LA REFORMA,389,CUAUHTEMOC,6500,CUAUHTEMOC,CIUDAD DE MEXICO
AVENIDA MIGUEL CERVANTES DE SAAVEDRA,533,COLONIA GRANADA,03800,BENITO JUAREZ,CIUDAD DE MEXICO
CALLE ARSENICO,555,COLONIA MORALES,11559,MIGUEL HIDALGO,CIUDAD DE MEXICO
CALLE LUIS GONZAGA URBINA,17,COLONIA POLANCO IV SECCION,11560,MIGUEL HIDALGO,CIUDAD DE MEXICO
CALLE ENRIQUE REBSAMEN,743,COLONIA NARVARTE PONIENTE,03020,BENITO JUAREZ,CIUDAD DE MEXICO
AVENIDA DEL ARBOL,106,COLONIA EL TRIANGULO,09769,IZTAPALAPA,CIUDAD DE MEXICO
